Kod stacji,Nazwa stacji,Rok,Miesiac,Dzien,tavg,precip,vapor_pres,humidity,pressure
354150100,KOŁOBRZEG,2017,1,1,3.6,4.6,7.4,92.5,1013.5
354150100,KOŁOBRZEG,2017,1,2,3.5,4.7,6,76.9,1011.1
354150100,KOŁOBRZEG,2017,1,3,1.9,10,6.7,92.3,1007.1
354150100,KOŁOBRZEG,2017,1,4,2.7,2.3,5.8,76,993.9
354150100,KOŁOBRZEG,2017,1,5,-1.7,6.2,3.9,74.5,1024.3
354150100,KOŁOBRZEG,2017,1,6,-4.5,4,3.5,77.3,1038.7
354150100,KOŁOBRZEG,2017,1,7,-6.4,1.9,3.2,81.3,1029.1
354150100,KOŁOBRZEG,2017,1,8,-6,0,3.5,86.5,1029
354150100,KOŁOBRZEG,2017,1,9,-2.8,0,4.5,86.3,1025.4
354150100,KOŁOBRZEG,2017,1,10,-2.7,0,3.9,76.3,1016.3
354150100,KOŁOBRZEG,2017,1,11,-5,1.6,3.6,79.3,1003.8
354150100,KOŁOBRZEG,2017,1,12,1.6,0,6.1,82.1,996.6
354150100,KOŁOBRZEG,2017,1,13,1.4,7.2,6.2,92.9,991
354150100,KOŁOBRZEG,2017,1,14,0,0.3,5.5,92.3,1000.5
354150100,KOŁOBRZEG,2017,1,15,0.3,5.2,5.6,89.1,1011
354150100,KOŁOBRZEG,2017,1,16,0.8,0.7,4.9,76.3,1023.6
354150100,KOŁOBRZEG,2017,1,17,-0.5,0.4,5.2,87.6,1035.4
354150100,KOŁOBRZEG,2017,1,18,-1.5,0.2,4.7,86.5,1038.9
354150100,KOŁOBRZEG,2017,1,19,-0.7,0.4,5.3,90.6,1035.7
354150100,KOŁOBRZEG,2017,1,20,2.3,0,6.9,95.8,1031.9
354150100,KOŁOBRZEG,2017,1,21,2,0,6.9,97.4,1031.4
354150100,KOŁOBRZEG,2017,1,22,1,0,6.2,93.4,1030.4
354150100,KOŁOBRZEG,2017,1,23,-1.1,0,5.2,93,1024.3
354150100,KOŁOBRZEG,2017,1,24,0.8,0.5,6.3,93.3,1025.8
354150100,KOŁOBRZEG,2017,1,25,2.6,0.1,7.1,96.3,1031
354150100,KOŁOBRZEG,2017,1,26,1.2,0,5.8,88,1032.8
354150100,KOŁOBRZEG,2017,1,27,-1,0,4.7,81.1,1026.7
354150100,KOŁOBRZEG,2017,1,28,-1.5,0,4.1,73.9,1022.6
354150100,KOŁOBRZEG,2017,1,29,-0.5,0,4.5,73.8,1020.2
354150100,KOŁOBRZEG,2017,1,30,1,0.1,5.6,82.6,1018.2
354150100,KOŁOBRZEG,2017,1,31,0.3,0,4.5,70.6,1018.7
354150100,KOŁOBRZEG,2017,2,1,-1,0,4.4,76.6,1023
354150100,KOŁOBRZEG,2017,2,2,-1.4,0,4.8,88.3,1017
354150100,KOŁOBRZEG,2017,2,3,-0.4,5.7,5.4,89.5,1010.8
354150100,KOŁOBRZEG,2017,2,4,1.1,2.7,6.1,92.3,1007.2
354150100,KOŁOBRZEG,2017,2,5,0.2,3.4,5.5,90,1008.6
354150100,KOŁOBRZEG,2017,2,6,-0.8,0,4.8,80.9,1021.1
354150100,KOŁOBRZEG,2017,2,7,-2.2,0,3.6,71,1026.8
354150100,KOŁOBRZEG,2017,2,8,-5.6,0,2.7,68.5,1032.5
354150100,KOŁOBRZEG,2017,2,9,-5.5,0,2.8,70.8,1036.3
354150100,KOŁOBRZEG,2017,2,10,-2.7,0,3,60.6,1033.7
354150100,KOŁOBRZEG,2017,2,11,-3.9,0,2.3,46.8,1033.1
354150100,KOŁOBRZEG,2017,2,12,-4,0,3.2,68.8,1037.1
354150100,KOŁOBRZEG,2017,2,13,-6.1,0,3.1,80.3,1040.3
354150100,KOŁOBRZEG,2017,2,14,-3.7,0,4.1,85.5,1037
354150100,KOŁOBRZEG,2017,2,15,1.2,0,4.2,63.6,1034.8
354150100,KOŁOBRZEG,2017,2,16,4.1,0.2,5.4,61.6,1026.5
354150100,KOŁOBRZEG,2017,2,17,4,0.6,7.3,93.5,1019.4
354150100,KOŁOBRZEG,2017,2,18,2.6,0.1,7,95.1,1022.6
354150100,KOŁOBRZEG,2017,2,19,3.8,0.4,7,87.4,1017.1
354150100,KOŁOBRZEG,2017,2,20,6.2,7.2,8.8,91,1006.5
354150100,KOŁOBRZEG,2017,2,21,5.6,0.8,7.3,84.3,1002.2
354150100,KOŁOBRZEG,2017,2,22,5.6,5.8,7.4,81.3,996
354150100,KOŁOBRZEG,2017,2,23,4.9,8.6,7,76.3,990.4
354150100,KOŁOBRZEG,2017,2,24,3.1,2,6.1,80.3,996.3
354150100,KOŁOBRZEG,2017,2,25,2.9,8.2,6,78.8,1014.3
354150100,KOŁOBRZEG,2017,2,26,5.4,3.6,8.4,91.9,1007
354150100,KOŁOBRZEG,2017,2,27,9,0,8.3,73.9,1004.1
354150100,KOŁOBRZEG,2017,2,28,7.1,1.6,7,68.9,992.6
354150100,KOŁOBRZEG,2017,3,1,5.2,0.1,6.4,72.8,997
354150100,KOŁOBRZEG,2017,3,2,2.9,2.8,6.7,90.4,1000.3
354150100,KOŁOBRZEG,2017,3,3,5.6,0,6.6,74.3,1009.2
354150100,KOŁOBRZEG,2017,3,4,7.3,0,7,67.3,1000.6
354150100,KOŁOBRZEG,2017,3,5,6.8,0,8.2,81,999.8
354150100,KOŁOBRZEG,2017,3,6,4.1,0,7.3,93.9,1003.3
354150100,KOŁOBRZEG,2017,3,7,1.5,0,5.2,75.3,1011.1
354150100,KOŁOBRZEG,2017,3,8,3.5,1.5,6.1,78.8,1019.1
354150100,KOŁOBRZEG,2017,3,9,4.6,0,7.4,87.8,1014.9
354150100,KOŁOBRZEG,2017,3,10,4.5,0,7.2,86.4,1018.8
354150100,KOŁOBRZEG,2017,3,11,2.4,0,6.7,90.1,1025.6
354150100,KOŁOBRZEG,2017,3,12,0,0,5.5,85.6,1026.1
354150100,KOŁOBRZEG,2017,3,13,2.1,0,5.6,75.9,1027.1
354150100,KOŁOBRZEG,2017,3,14,4.8,0.1,6.9,77.9,1025.8
354150100,KOŁOBRZEG,2017,3,15,6.2,0,7.6,80.4,1022.9
354150100,KOŁOBRZEG,2017,3,16,5.7,0,8,87.1,1020.5
354150100,KOŁOBRZEG,2017,3,17,6.2,3.9,7.2,76.5,1007.8
354150100,KOŁOBRZEG,2017,3,18,3.9,8.3,7.1,87.6,995.2
354150100,KOŁOBRZEG,2017,3,19,4.4,5.1,6.4,79.4,1004.5
354150100,KOŁOBRZEG,2017,3,20,5.9,9.5,8.9,91.3,1002.3
354150100,KOŁOBRZEG,2017,3,21,7.9,0.2,8.6,77.4,1004.4
354150100,KOŁOBRZEG,2017,3,22,5.3,0,5.6,61.8,1017.6
354150100,KOŁOBRZEG,2017,3,23,6,0,5.7,61.1,1023.2
354150100,KOŁOBRZEG,2017,3,24,3.9,0,6.6,78.9,1029.6
354150100,KOŁOBRZEG,2017,3,25,4.6,0,7.3,83.9,1026.7
354150100,KOŁOBRZEG,2017,3,26,3.9,0,6.9,79.5,1026.1
354150100,KOŁOBRZEG,2017,3,27,7.9,0,7.9,73.9,1024.2
354150100,KOŁOBRZEG,2017,3,28,7.5,0,8,76.9,1019.5
354150100,KOŁOBRZEG,2017,3,29,6.5,0.9,8.5,88.4,1017.7
354150100,KOŁOBRZEG,2017,3,30,8.6,0.6,9.9,85,1023.2
354150100,KOŁOBRZEG,2017,3,31,15.2,0,11.7,67.4,1017.2
354150100,KOŁOBRZEG,2017,4,1,12,0,10.4,75.6,1012.1
354150100,KOŁOBRZEG,2017,4,2,8.9,0.4,9.9,89.6,1016.2
354150100,KOŁOBRZEG,2017,4,3,7.4,0.1,9.3,95,1025.3
354150100,KOŁOBRZEG,2017,4,4,5.7,0,8.8,96.5,1026.3
354150100,KOŁOBRZEG,2017,4,5,7.2,1,8.6,83.6,1017.9
354150100,KOŁOBRZEG,2017,4,6,6.6,4.2,7.8,79.6,1016.1
354150100,KOŁOBRZEG,2017,4,7,7.4,0,9.6,94.3,1013.7
354150100,KOŁOBRZEG,2017,4,8,7.2,0,9.5,91.3,1021
354150100,KOŁOBRZEG,2017,4,9,9.7,0,8.5,71.9,1023.4
354150100,KOŁOBRZEG,2017,4,10,11.7,0.1,9.1,72.4,1013.4
354150100,KOŁOBRZEG,2017,4,11,6.8,3,6.6,65.4,1015.6
354150100,KOŁOBRZEG,2017,4,12,7.4,6.2,9.3,90.6,1007.6
354150100,KOŁOBRZEG,2017,4,13,7.5,2.2,8.8,83.4,1004.7
354150100,KOŁOBRZEG,2017,4,14,7.4,1.2,8.3,80.9,1009.2
354150100,KOŁOBRZEG,2017,4,15,7.4,4,8.7,86.1,1006.2
354150100,KOŁOBRZEG,2017,4,16,4.5,0,5.7,67.9,1012.2
354150100,KOŁOBRZEG,2017,4,17,4.3,5.5,6,72,1015.8
354150100,KOŁOBRZEG,2017,4,18,3.3,0,5.6,72.5,1025.4
354150100,KOŁOBRZEG,2017,4,19,3.6,0,4.8,60.4,1033.7
354150100,KOŁOBRZEG,2017,4,20,3.6,0.2,5.6,66.4,1032.8
354150100,KOŁOBRZEG,2017,4,21,8.5,4.6,9,80.3,1018.7
354150100,KOŁOBRZEG,2017,4,22,7,0,6.7,67.9,1012.1
354150100,KOŁOBRZEG,2017,4,23,6.8,0,6.7,68.1,1014.3
354150100,KOŁOBRZEG,2017,4,24,7.4,6.1,7,68.8,1011.1
354150100,KOŁOBRZEG,2017,4,25,5.2,3.1,6.9,84.1,1003.6
354150100,KOŁOBRZEG,2017,4,26,5.1,0,6.3,72.4,1010.4
354150100,KOŁOBRZEG,2017,4,27,5.9,0,6.7,73.1,1013.8
354150100,KOŁOBRZEG,2017,4,28,6.6,0,7.3,75,1014.1
354150100,KOŁOBRZEG,2017,4,29,6,8.6,7.7,85.1,1016.2
354150100,KOŁOBRZEG,2017,4,30,5.8,0,7.1,76,1023.4
354150100,KOŁOBRZEG,2017,5,1,8.6,0,6.9,62.9,1021.9
354150100,KOŁOBRZEG,2017,5,2,9.5,1.9,7.3,66.1,1023.2
354150100,KOŁOBRZEG,2017,5,3,8.3,0,8.6,78.5,1025.8
354150100,KOŁOBRZEG,2017,5,4,7.4,17.6,8.9,87.3,1022.2
354150100,KOŁOBRZEG,2017,5,5,8.3,0.2,10.1,92.3,1020.4
354150100,KOŁOBRZEG,2017,5,6,9.1,0,9.7,83.8,1016.9
354150100,KOŁOBRZEG,2017,5,7,8.5,0.5,8.2,75.3,1012.9
354150100,KOŁOBRZEG,2017,5,8,6.3,2.5,7.2,73.9,1015.8
